a:	-2772	-16272	1248	
a:	-1920	-16912	1608	
a:	-1720	-16160	2020	
a:	-2024	-16504	1460	
a:	-2264	-16628	2532	
a:	-2332	-16388	2360	
a:	-2128	-16208	1920	
a:	-2000	-16064	2264	
a:	-2300	-15980	1848	
a:	-2244	-16176	1588	
a:	-2432	-16308	1756	
a:	-2424	-16316	2064	
a:	-2412	-16556	1308	
a:	-2292	-16424	1880	
a:	-1784	-16236	2056	
a:	-2228	-16100	1664	
a:	-2760	-16076	1680	
a:	-2784	-15844	2284	
a:	-3768	-15876	2216	
a:	-2900	-15424	1500	
a:	-1788	-15204	2040	
a:	1296	-21852	1912	
a:	460	-14592	3716	
a:	608	-14844	2868	
a:	-1892	-17444	2252	
a:	-1412	-17124	2180	
a:	-344	-16232	2732	
a:	132	-16240	2016	
a:	36	-16364	2324	
a:	160	-16424	2404	
a:	284	-16324	2136	
a:	268	-16184	2072	
a:	40	-16000	2132	
a:	-348	-15936	1876	
a:	-108	-16140	1772	
a:	36	-16872	1372	
a:	756	-17688	1772	
a:	768	-16652	1544	
a:	924	-17236	1296	
a:	1164	-17140	1932	
a:	696	-16460	2548	
a:	1072	-16404	2148	
a:	916	-16860	2280	
a:	776	-16480	1556	
a:	988	-16612	2008	
a:	820	-16520	2264	
a:	824	-16304	2440	
a:	976	-16320	2100	
a:	896	-16344	1576	
a:	852	-16232	2100	
a:	1260	-16308	2016	
a:	1212	-16844	2168	
a:	1460	-15996	2832	
a:	1544	-16192	1948	
a:	1568	-16292	2244	
a:	1848	-16920	2672	
a:	2272	-17152	3200	
a:	1280	-17500	3332	
a:	-1700	-19108	-800	
a:	-52	-16880	2964	
a:	180	-11624	1356	
a:	2376	-15504	2680	
a:	2900	-17408	2056	
a:	1216	-16988	1616	
a:	-540	-16516	2956	
a:	-772	-16632	2916	
a:	412	-15852	2312	
a:	-360	-16196	1856	
a:	-532	-16408	2124	
a:	-884	-16324	2292	
a:	-876	-16296	1964	
a:	-1564	-16308	1628	
a:	-2372	-16956	1376	
a:	-2600	-16968	1060	
a:	-2244	-16436	1640	
a:	-2188	-15904	1520	
a:	-2084	-15900	1420	
a:	-2248	-16768	1536	
a:	-2944	-16872	1784	
a:	-2812	-16540	2372	
a:	-3080	-16140	2328	
a:	-2908	-16436	1684	
a:	-2352	-16264	1552	
a:	-1996	-16312	1816	
a:	-2256	-16156	1720	
a:	-2468	-16316	1680	
a:	-2728	-16356	2008	
a:	-2688	-15932	1972	
a:	-2572	-16040	1980	
a:	-3364	-15984	2296	
a:	-3288	-15056	2060	
a:	-3136	-15252	2048	
a:	-2972	-16568	384	
a:	312	-21852	2036	
a:	308	-13440	2908	
a:	1908	-14820	2688	
a:	-1500	-17192	2980	
a:	-2516	-17356	1956	
a:	-952	-16820	2216	
a:	-520	-16296	2644	
a:	-1216	-16276	2416	
a:	-880	-15964	2352	
a:	-220	-16252	2236	
a:	76	-16204	2052	
a:	448	-15848	2100	
a:	584	-15884	1304	
a:	760	-16784	1300	
a:	744	-17156	2056	
a:	236	-17284	2096	
a:	364	-17880	1700	
a:	-104	-17784	2980	
a:	-412	-16904	2936	
a:	328	-16492	2900	
a:	1012	-15796	2584	
a:	1528	-15840	2464	
a:	1096	-16200	2536	
a:	580	-16616	2648	
a:	556	-16644	2768	
a:	668	-16256	1604	
a:	1100	-16280	2200	
a:	920	-16344	2536	
a:	1120	-16220	2464	
a:	1100	-16220	2444	
a:	1684	-16188	2500	
a:	1756	-16144	1644	
a:	1840	-16852	1504	
a:	1544	-16984	2136	
a:	816	-16828	2124	
a:	-1616	-21072	-116	
a:	-260	-14360	3220	
a:	-1988	-12840	1976	
a:	-40	-17484	2832	
a:	1612	-17440	2044	
a:	-872	-16192	1472	
a:	-1848	-16440	3784	
a:	-1664	-15944	3068	
a:	-736	-15884	2448	
a:	-1656	-16004	2548	
a:	-2820	-15748	1980	
a:	-2536	-16744	1368	
a:	-1636	-17084	1780	
a:	-2264	-16428	2628	
a:	-1588	-16960	2180	
a:	-1220	-16716	2580	
a:	-1860	-16368	2776	
a:	-2664	-15884	2736	
a:	-2724	-16072	2292	
a:	-2556	-16248	2516	
a:	-2384	-16452	2272	
a:	-2128	-16224	2736	
a:	-1936	-16276	2512	
a:	-2292	-16124	2532	
a:	-2544	-16132	2432	
a:	-2848	-16172	2648	
a:	-2844	-16492	2400	
a:	-2872	-16436	1636	
a:	-2812	-16036	2428	
a:	-2924	-15920	2880	
a:	-3364	-15188	3220	
a:	-3244	-15496	1888	
a:	-1804	-17320	2520	
a:	972	-18836	2012	
a:	2516	-17268	3324	
a:	500	-15180	2692	
a:	-1760	-16508	1636	
a:	-376	-16516	2088	
a:	388	-16300	2620	
a:	180	-16284	2580	
a:	600	-16908	2424	
a:	588	-16752	2512	
a:	260	-16384	2624	
a:	228	-16516	2400	
a:	148	-16420	3004	
a:	516	-16464	3004	
a:	444	-16528	3164	
a:	244	-16496	3148	
a:	164	-16636	3032	
a:	132	-16680	3004	
a:	108	-16528	3120	
a:	96	-16636	3260	
a:	-112	-16412	2872	
a:	-72	-16408	3440	
a:	-148	-16756	3492	
a:	208	-16512	2960	
a:	196	-16448	2872	
a:	0	-16480	2840	
a:	-28	-16528	3072	
a:	8	-16524	3352	
a:	24	-16608	3256	
a:	-92	-16456	2904	
a:	-80	-16488	3092	
a:	-28	-16488	2940	
a:	36	-16548	2952	
a:	48	-16520	2836	
a:	76	-16552	2648	
a:	92	-16524	2648	
a:	180	-16760	3192	
a:	-140	-16504	2040	
a:	228	-16376	2892	
a:	-272	-16432	2648	
a:	-136	-16468	3008	
a:	-292	-16388	2796	
a:	-368	-16436	2772	
a:	-336	-16532	2260	
a:	-280	-16660	2296	
a:	-168	-16548	2824	
a:	-284	-16480	2772	
a:	-188	-16544	2864	
a:	-192	-16456	2724	
a:	-336	-16444	2732	
a:	-276	-16628	2696	
a:	-192	-16452	2728	
a:	-284	-16592	2700	
a:	-392	-16440	2708	
a:	-120	-16656	3016	
a:	-196	-16520	2796	
a:	-208	-16600	2672	

